gene_id	ERR883767_1	ERR883768_1	ERR883769_1	ERR883770_1	ERR883771_1	ERR883772_1
LOC110119437	642	672	974	839	628	414
LOC100643149	32099	36030	60333	851	1370	412
LOC100644429	1788	1668	771	3036	4250	1765
LOC110119444	15	17	11	6	4	3
LOC100649561	1390	1444	1550	2496	1441	2178
LOC100650067	90	87	63	3	0	4
LOC100650188	102	107	68	1	0	0
LOC100649681	1597	1637	1523	2012	1414	1614
LOC100650311	303	323	391	548	447	597
LOC110119577	12	6	20	15	14	3
LOC100650429	1022	940	877	450	313	327
LOC100650673	659	622	753	1281	831	909
LOC100650551	1595	1596	1922	1846	1306	1548
LOC100647955	272	265	375	625	334	477
LOC100650799	538	431	527	629	420	519
LOC100651114	196	170	215	977	592	728
LOC100651236	629	592	526	242	198	182
LOC100651357	143	223	114	226	107	92
LOC100648082	992	915	703	81	72	83
LOC100651630	2272	2158	1613	635	427	480
LOC100651865	294	249	313	183	129	152
LOC100651745	420	427	596	438	329	346
LOC100648196	671	645	540	123	78	132
LOC100642192	1232	1158	1251	960	630	747
LOC100642315	1759	1534	1348	521	284	377
LOC100642435	305	287	243	144	108	112
LOC100642553	952	810	806	1367	1234	1476
LOC100648311	480	456	340	431	367	332
LOC100642675	0	0	0	4	2	1
LOC100642794	299	272	392	559	322	237
LOC100648424	916	954	1241	1055	678	702
LOC100643029	741	668	803	493	326	377
LOC100642914	349	321	358	743	496	525
LOC100643272	885	867	1171	1741	1746	1350
LOC110120288	344	343	544	1699	1194	1009
LOC100643396	1277	1245	1365	1626	1190	1395
LOC110120287	6	4	10	8	6	9
LOC100643640	582	535	575	541	493	573
LOC105665906	1267	1079	1519	1933	1389	1111
LOC100643753	858	841	902	650	454	409
LOC100643876	850	727	625	178	149	139
LOC100644001	249	271	225	125	108	103
LOC100648664	1353	1268	1319	1083	720	893
LOC100648849	1318	1217	1322	807	620	556
LOC100643230	220	215	241	228	185	240
LOC100643473	786	798	728	277	180	196
LOC100643600	1309	1168	799	56	59	65
LOC100643720	321	354	339	1503	1132	1460
LOC100643839	233	264	345	1015	387	529
LOC100643962	3036	3279	3531	3161	1768	1662
LOC100644085	97	147	165	165	100	214
LOC100644201	9	10	15	85	41	123
LOC100644319	95	95	146	418	249	417
LOC100644547	1244	1248	1244	1120	768	1110
LOC100644670	5614	4914	5003	1903	1278	1456
LOC100644873	1015	1008	1377	1587	1079	1098
LOC100644993	1036	1024	1112	1392	859	1224
LOC100645112	863	860	976	381	370	412
LOC100645232	617	537	421	280	189	127
LOC100645360	1164	1109	1076	440	274	267
LOC105665938	314	284	282	163	162	160
LOC105665935	279	255	306	209	122	143
LOC100648965	977	823	932	313	199	396
LOC100645551	641	220	209	242	158	356
LOC100645667	834	753	1068	3692	3237	2163
LOC100645902	379	331	329	641	441	370
LOC100649079	317	313	345	242	124	193
LOC100649200	5	5	14	3	2	0
LOC100646093	1668	1547	1317	1026	668	854
LOC100646215	501	487	546	382	333	287
LOC100646331	1529	1439	1376	671	489	470
LOC100646575	1087	1025	1182	1174	823	1064
LOC105665953	3260	2960	3498	14460	10835	8740
LOC100646455	1378	1252	1172	889	505	532
LOC100646892	294	347	373	441	369	337
LOC100649436	429	415	414	668	471	673
LOC100647010	1042	1071	1341	2414	1373	2054
LOC100647132	1239	1210	1543	1882	1320	1528
LOC100647250	2174	2094	1983	937	700	726
LOC105665973	25	25	28	23	14	17
LOC100647489	1149	1045	1513	2840	2271	2966
LOC100643721	424	403	453	340	156	133
LOC100643517	4130	3654	4038	3089	2606	2640
LOC100649986	200	199	259	560	328	507
LOC100650107	28	44	38	45	31	47
LOC100644474	6566	7236	4177	1506	899	1192
LOC105665984	34	24	26	55	27	91
LOC100645618	2517	2290	1866	577	465	400
LOC100646852	1602	1534	1630	957	569	628
LOC100647923	1160	1020	1171	638	448	468
LOC100649126	1722	1531	1769	3196	2324	2476
LOC110119348	114	76	76	28	26	8
LOC100650471	33	40	58	91	78	75
LOC100651311	0	0	0	0	0	1
LOC100642236	8	11	19	17	18	20
LOC100642676	32286	25828	38215	21932	31365	20799
LOC110119284	10	9	8	88	59	168
LOC100642915	15046	20824	28173	14204	16061	10339
LOC100650232	9	15	10	0	4	0
LOC100643150	25260	31042	41528	14803	16318	10126
LOC100642795	16384	19190	23348	14816	13215	10092
LOC100652029	269	231	170	88	49	63
LOC105665991	10408	7055	10870	14808	19321	13470
LOC100643273	2787	2695	2788	2876	2143	3052
LOC105665993	31	35	30	86	58	101
LOC105666091	0	1	1	46	34	28
LOC110119944	37	32	31	19	7	22
LOC110119925	31	27	24	33	27	170
LOC100643794	200	203	328	610	304	523
LOC105665998	20	16	41	66	46	32
LOC100650590	1	2	0	0	0	0
LOC105665999	898	942	874	516	307	298
LOC100643921	63	41	61	172	101	286
LOC100644048	6886	6964	9051	6476	3866	4364
LOC100644280	821	782	904	681	435	480
LOC100644388	128	119	140	433	446	464
LOC100644160	341	288	296	74	33	62
LOC110119374	22	21	23	34	17	23
LOC110119375	0	0	1	0	1	0
LOC100644509	560	520	604	818	593	440
LOC100650713	22	18	30	18	15	20
LOC105666007	0	0	2	1	1	1
LOC100644630	136	126	130	398	142	821
LOC105666094	0	0	0	19	11	62
LOC100650834	49	47	80	38	21	31
TRNAL-UAA	0	0	0	0	0	0
LOC100644953	117	126	117	96	47	76
LOC100650949	234	180	188	117	81	104
LOC110119209	5	3	5	87	55	183
LOC100645514	339	310	245	156	87	107
LOC100645181	3466	3329	4363	4730	3387	3099
LOC110119562	29	30	32	9	21	4
LOC100645309	8180	7132	6191	385	302	153
LOC100645619	365	384	495	1153	919	1160
LOC100645741	236	179	160	860	543	696
LOC110119560	43	34	13	135	82	130
LOC100651187	68	61	77	157	116	151
LOC100646095	45390	41462	52999	17218	14144	12374
LOC100644592	505	597	357	90	56	104
LOC100644356	104	97	117	75	68	60
LOC100644117	462	443	536	873	772	628
LOC100644239	617	559	727	453	399	387
LOC105666023	1	4	1	0	1	0
LOC100644710	47	30	34	33	27	28
LOC105666096	2	4	2	25	16	44
LOC100651550	19	23	41	24	28	15
LOC100644835	5	5	11	18	9	15
LOC100644952	1247	1255	1325	971	596	708
LOC100645068	204	212	150	128	72	118
LOC100645180	1083	958	1139	738	482	424
LOC100645432	830	686	846	650	453	582
LOC100645308	354	387	390	206	210	230
LOC100645740	584	573	645	613	407	424
LOC105665612	1299	1106	1179	985	741	783
LOC100645859	216	244	304	2595	1523	2945
LOC100645975	825	787	676	740	413	569
LOC100646282	135	147	199	158	150	83
LOC100646094	720	647	888	1279	884	736
LOC100646492	541	451	617	473	338	342
LOC100651669	289	279	220	52	29	39
LOC100646612	519	516	574	510	367	280
LOC100646730	485	561	643	561	422	328
LOC100651788	40	56	68	92	54	109
TRNAF-GAA	0	0	0	0	0	0
LOC100646973	291	309	360	378	206	288
LOC100651910	18	29	27	56	29	67
LOC100647090	1034	911	798	409	255	342
LOC100647449	2657	2458	2618	2222	1731	1566
LOC100647686	299	262	313	285	169	207
LOC100647210	34	35	23	504	298	477
